id_episode;id_show
1;9
2;9
3;9
4;9
5;9
6;9
7;9
8;9
9;9
10;9
11;9
12;9
13;9
14;9
15;9
16;9
17;9
18;9
19;9
20;9
21;9
22;9
23;9
24;9
25;9
26;9
27;9
28;9
29;9
30;9
31;9
32;9
33;9
34;9
35;9
36;19
37;19
38;19
39;19
40;19
41;19
42;19
43;19
44;19
45;19
46;19
47;19
48;19
49;19
50;19
51;9
52;9
53;8
54;8
55;9
56;9
57;8
58;8
59;9
60;9
61;8
62;8
63;9
64;9
65;8
66;8
67;9
68;9
69;8
70;8
71;19
72;19
73;19
74;19
75;19
76;19
77;19
78;19
79;19
80;19
81;20
82;20
83;20
84;20
85;20
86;20
87;20
88;20
89;20
90;20
91;20
92;20
93;20
94;20
95;20
96;20
97;20
98;20
99;20
100;20
101;20
102;20
103;20
104;20
105;20
106;20
107;20
108;20
109;20
110;20
111;20
112;20
113;20
114;20
115;20
116;20
117;20
118;20
119;20
120;20
121;20
122;20
123;20
124;20
125;20
126;20
127;20
128;20
129;20
130;20
131;20
132;20
133;20
134;20
135;20
136;20
137;20
138;20
139;20
140;20
141;20
142;20
143;20
144;20
145;20
146;20
147;20
148;20
149;20
150;20
151;20
152;20
153;20
154;20
155;20
156;20
157;20
158;20
159;20
160;20
161;20
162;20
163;20
164;20
165;20
166;20
167;20
168;20
169;20
170;20
171;20
172;20
173;20
174;20
175;20
176;20
177;10
178;26
179;9
180;8
181;9
182;8
183;8
184;19
185;19
186;19
187;19
188;20
189;20
190;20
191;20
192;20
193;20
194;20
195;1
196;1
197;1
198;1
199;1
200;1
201;1
202;1
203;1
204;19
205;19
206;16
207;16
208;16
209;23
210;8
211;23
212;23
213;23
214;16
215;16
216;23
217;16
218;16
219;23
220;23
221;23
222;21
223;21
224;19
225;19
226;19
227;19
228;16
229;19
230;19
231;19
232;1
233;1
234;1
235;1
236;1
237;1
238;1
239;1
240;1
241;2
242;2
243;2
244;2
245;2
246;2
247;2
248;2
249;2
250;2
251;2
252;2
253;2
254;2
255;2
256;2
257;2
258;2
259;2
260;2
261;2
262;2
263;2
264;2
265;2
266;2
267;2
268;2
269;2
270;2
271;2
272;2
273;2
274;2
275;2
276;2
277;2
278;2
279;2
280;2
281;2
282;2
283;2
284;2
285;2
286;2
287;2
288;2
289;2
290;6
291;6
292;6
293;6
294;6
295;6
296;6
297;6
298;6
299;6
300;6
301;6
302;6
303;6
304;6
305;6
306;6
307;6
308;6
309;6
310;6
311;6
312;6
313;6
314;6
315;6
316;6
317;6
318;6
319;6
320;6
321;6
322;6
323;6
324;6
325;6
326;6
327;6
328;6
329;6
330;6
331;6
332;6
333;6
334;6
335;6
336;6
337;6
338;6
339;6
340;6
341;6
342;6
343;6
344;6
345;6
346;6
347;6
348;6
349;6
350;6
351;6
352;6
353;6
354;6
355;6
356;6
357;6
358;6
359;6
360;6
361;6
362;6
363;6
364;6
365;6
366;6
367;6
368;6
369;6
370;6
371;6
372;6
373;6
374;6
375;6
376;6
377;18
378;18
379;18
380;18
381;18
382;18
383;18
384;18
385;18
386;18
387;18
388;18
389;18
390;18
391;18
392;18
393;18
394;18
395;18
396;18
397;18
398;18
399;18
400;18
401;18
402;18
403;18
404;18
405;18
406;18
407;18
408;18
409;18
410;18
411;18
412;18
413;18
414;18
415;18
416;18
417;18
418;18
419;18
420;18
421;18
422;18
423;18
424;18
425;18
426;18
427;18
428;18
429;18
430;18
431;18
432;18
433;18
434;18
435;18
436;18
437;18
438;18
439;18
440;18
441;18
442;18
443;18
444;18
445;18
446;18
447;18
448;18
449;18
450;3
451;3
452;3
453;3
454;24
455;21
456;25
457;24
458;21
459;15
460;21
461;24
462;15
463;15
464;24
465;24
466;5
467;24
468;24
469;5
470;24
471;5
472;15
473;5
474;24
475;5
476;24
477;24
478;15
479;24
480;24
481;24
482;4
483;4
484;4
485;4
486;4
487;4
488;4
489;4
490;4
491;4
492;4
493;4
494;4
495;4
496;4
497;4
498;4
499;4
500;4
501;4
502;4
503;4
504;4
505;4
506;4
507;4
508;7
509;7
510;7
511;7
512;7
513;7
514;7
515;7
516;7
517;7
518;7
519;7
520;7
521;7
522;7
523;7
524;7
525;7
526;7
527;7
528;7
529;7
530;7
531;7
532;7
533;7
534;7
535;7
536;7
537;7
538;7
539;7
540;7
541;7
542;12
543;12
544;12
545;13
546;13
547;13
548;13
549;13
550;13
551;13
552;13
553;13
554;13
555;13
556;13
557;13
558;13
559;13
560;13
561;13
562;13
563;13
564;13
565;13
566;13
567;13
568;13
569;13
570;13
571;13
572;13
573;13
574;13
575;13
576;13
577;13
578;13
579;13
580;13
581;13
582;13
583;13
584;13
585;13
586;14
587;14
588;14
589;14
590;17
591;17
592;17
593;17
594;17
595;17
596;17
597;17
598;17
599;17
600;17
601;17
602;17
603;17
604;17
605;17
606;17
607;17
608;17
609;17
610;17
611;17
612;17
613;17
614;17
615;17
616;17
617;17
618;17
619;17
620;17
621;17
622;17
623;17
624;17
625;17
626;17
627;17
628;17
629;17
630;17
631;22
632;22
633;22
634;22
635;22
636;22
637;22
638;22
639;22
640;22
641;22
642;22
643;22
644;22
645;22
646;22
647;22
648;22
649;22
650;22
651;22
652;22
653;22
654;22
655;22
656;22
657;22
658;22
659;22
660;22
661;22
662;22
663;22
664;22
665;22
666;22
667;22
668;22
669;22
670;22
671;22
672;11
673;11
674;11
675;11
